time	V(vout)
Step Information: Run=0  (Run: 1/65)
2.373755877536654e+000	3.298048e+000
2.375014727634310e+000	3.297933e+000
2.375281756442904e+000	3.297829e+000
2.375377123874545e+000	3.297750e+000
2.375424807590365e+000	3.297679e+000
2.375443881076693e+000	3.297611e+000
2.375482028049349e+000	3.297380e+000
2.375486096855452e+000	3.297323e+000
2.375494234467656e+000	3.297119e+000
2.375496268870708e+000	3.297017e+000
2.375500337676810e+000	3.296666e+000
2.375501354878336e+000	3.296461e+000
2.375503389281387e+000	3.295721e+000
2.375503617467163e+000	3.295546e+000
2.375504073838715e+000	3.294995e+000
2.375504187931603e+000	3.294795e+000
2.375504416117379e+000	3.294217e+000
2.375504560137543e+000	3.293634e+000
2.375504770069395e+000	3.292356e+000
2.375504798587395e+000	3.292083e+000
2.375504855623394e+000	3.291269e+000
2.375504928853880e+000	3.289669e+000
2.375505001979959e+000	3.286923e+000
2.375505042349615e+000	3.284164e+000
2.375505068310017e+000	3.281074e+000
2.375505087729007e+000	3.277226e+000
2.375505105944438e+000	3.271199e+000
2.375505122072797e+000	3.261975e+000
2.375505136281257e+000	3.247496e+000
2.375505149490407e+000	3.223146e+000
2.375505164112401e+000	3.178056e+000
2.375505178387775e+000	3.113057e+000
2.375505197711810e+000	3.002065e+000
2.375505219530538e+000	2.863067e+000
2.375505244015247e+000	2.700137e+000
2.375505287393148e+000	2.406180e+000
2.375505371678524e+000	1.830982e+000
2.375505540249276e+000	6.847739e-001
2.375505606578053e+000	2.548254e-001
2.375505641499018e+000	6.334224e-002
2.375505652538968e+000	2.654066e-002
2.375505662134609e+000	1.299802e-002
2.375505665303770e+000	1.080400e-002
2.375505670337775e+000	8.779907e-003
2.375505674051683e+000	7.692536e-003
2.375505678591124e+000	6.739005e-003
2.375505683578911e+000	5.963374e-003
2.375505689209438e+000	5.323478e-003
2.375505696803632e+000	4.702060e-003
2.375505705078392e+000	4.224299e-003
2.375505717536598e+000	3.733421e-003
2.375505730838671e+000	3.382655e-003
2.375505752585549e+000	3.015640e-003
2.375505775413100e+000	2.775160e-003
2.375505821068202e+000	2.498001e-003
2.375505872120461e+000	2.322765e-003
2.375505974224977e+000	2.152069e-003
2.375506139459334e+000	2.023771e-003
2.375506469928049e+000	1.925421e-003
2.375507130865478e+000	1.858158e-003
2.375508452740336e+000	1.819398e-003
2.375511096490051e+000	1.800639e-003
2.375516383989483e+000	1.793956e-003
2.375526958988346e+000	1.792561e-003
2.400451458408575e+000	1.791313e-003
2.424865520908575e+000	1.789646e-003
2.449279583408575e+000	1.788181e-003
2.473693645908575e+000	1.786895e-003
2.498107708408575e+000	1.785766e-003
2.522521770908575e+000	1.784774e-003
2.546935833408575e+000	1.783903e-003
2.571349895908575e+000	1.783137e-003
2.595763958408575e+000	1.782465e-003
2.620178020908575e+000	1.781876e-003
2.644592083408575e+000	1.781362e-003
2.669006145908575e+000	1.780927e-003
2.693420208408575e+000	1.780606e-003
2.717834270908575e+000	1.780506e-003
2.742248333408575e+000	1.780898e-003
2.766662395908575e+000	1.782376e-003
2.791076458408575e+000	1.786270e-003
2.815490520908575e+000	1.796696e-003
2.835021770908575e+000	1.826493e-003
2.839904583408575e+000	1.852248e-003
2.844787395908575e+000	1.893834e-003
2.844863689853887e+000	1.897738e-003
2.845016277744512e+000	1.906955e-003
2.845931805088262e+000	1.953956e-003
2.847152508213262e+000	2.344182e-003
2.847458876087408e+000	2.808887e-003
2.847467220737676e+000	2.924740e-003
2.847469604923467e+000	2.995827e-003
2.847474373295049e+000	3.204689e-003
2.847475565387945e+000	3.302180e-003
2.847477949573736e+000	3.614558e-003
2.847478545620183e+000	3.754070e-003
2.847479737713079e+000	4.192112e-003
2.847480035736303e+000	4.378715e-003
2.847480631782751e+000	4.944886e-003
2.847480780794363e+000	5.171044e-003
2.847481078817586e+000	5.824346e-003
2.847481153323392e+000	6.063051e-003
2.847481302335004e+000	6.758570e-003
2.847481418252748e+000	7.556804e-003
2.847481514599383e+000	8.512728e-003
2.847481538686042e+000	8.854894e-003
2.847481586859359e+000	9.837776e-003
2.847481648758843e+000	1.174794e-002
2.847481698587655e+000	1.430868e-002
2.847481731285345e+000	1.718521e-002
2.847481754337098e+000	2.058413e-002
2.847481772955177e+000	2.510456e-002
2.847481789209920e+000	3.166424e-002
2.847481803759905e+000	4.168116e-002
2.847481817172842e+000	5.785262e-002
2.847481830473762e+000	8.585293e-002
2.847481844788890e+000	1.346969e-001
2.847481860652265e+000	2.113717e-001
2.847481879609314e+000	3.233535e-001
2.847481902047935e+000	4.683499e-001
2.847481928725735e+000	6.468177e-001
2.847481975977248e+000	9.676980e-001
2.847482070480274e+000	1.612005e+000
2.847482259486327e+000	2.874887e+000
2.847482320676205e+000	3.253050e+000
